SurveyCaseid,date,weight,polltype,A003_rating,A003_ratinggp,v1,v3,WillVote,WillVotegp,KnowDistrict10,District10,District10gp,RealKnowDistrict10,District18,WongTaiSin,ShaTin,YuenLong,District10_2,LC1,LC1gp,LC2,LC2gp,LC3,LC3gp,LC4,LC4gp,LC5,LC5gp,LC6,LC6gp,LC7,LC7gp,LC8,LC8gp,LC9,LC9gp,LC10,LC10gp,LCunknown,LCvote,WhyCandidateA,WhyCandidateB,SupportAny,FollowForum,Campaign_b,Campaign_c,Campaign_d,Campaign_e,Campaign_f,Campaign_g,CampaignEffect_a,CampaignEffect_agp,CampaignEffect_b,CampaignEffect_bgp,CampaignEffect_c,CampaignEffect_cgp,CampaignEffect_d,CampaignEffect_dgp,CampaignEffect_e,CampaignEffect_egp,CampaignEffect_f,CampaignEffect_fgp,CampaignEffect_g,CampaignEffect_ggp,AffectWillVote_a,AffectWillVote_b,sex,pob1,pob2,pob2_v2,pobgp,agegp_TP_7,agegp_TP_6,agegp_TP_5,agegp_TP,agegp2,agegp_2015,eduv2,edugp_TP,occv2,occgp,occv2_8881_others,v4_2019,inclin,v4_2019_8881_others,type,housingv2,housinggpv3,districtgp,marital,mid,midgp,civicactive
LC2021R6_000020,20211209,1.2427439,2,0,1,1,1,2,1,1,6,1,1,,,,,6,,,,,,,,,,,8885,8885,,,,,,,,,,8885,,,2,2,2,2,1,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,1,1,,,1,5,4,4,5,3,2,5,3,1,1,,1,1,,1,3,3,4,2,3,1,1
LC2021R6_000021,20211209,1.1593053,2,40,2,1,1,8888,8888,1,8886,2,2,11,,,,10,,,,,,,,,,,,,,,,,,,3,1,,1,1,3,1,2,1,1,1,1,2,2,4,4,4,4,4,4,2,1,4,4,4,4,4,4,2,2,1,4,8888,8888,8881,1,1,1,1,1,1,3,2,2,2,,8886,8886,,1,3,3,4,2,-99,-99,-99
LC2021R6_000022,20211209,0.9827503,2,0,1,1,2,4,3,1,1,1,1,,,,,1,8886,8886,,,,,,,,,,,,,,,,,,,,8886,,,2,4,1,1,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,1,,,1,3,2,2,3,2,2,3,2,7,6,,1,1,,2,1,1,1,1,5,3,1
LC2021R6_000023,20211209,0.8552444,1,50,3,1,1,2,1,1,8885,2,2,9,,,,5,,,,,,,,,1,1,,,,,,,,,,,,1,1,1,1,2,2,1,1,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,5,40,4,8881,7,6,5,6,3,3,3,2,6,6,,8888,8888,,2,1,1,3,2,5,3,1
LC2021R6_000024,20211209,1.2492573,1,8888,8888,1,1,8886,8886,2,,,3,16,,,2,7,,,,,,,,,,,,,8888,8888,,,,,,,,8888,,,8888,4,1,1,1,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8888,8888,2,2,20,3,2,5,4,4,5,3,2,1,1,5,5,,8886,8886,,2,1,1,5,2,5,3,-99
LC2021R6_000025,20211209,1.0337272,2,0,1,1,1,4,3,1,8885,2,2,16,,,1,8,,,,,,,,,,,,,,,8886,8886,,,,,,8886,,,2,4,2,1,2,1,2,2,4,4,4,4,2,1,3,1,2,1,4,4,4,4,3,3,2,1,,,1,3,2,2,3,2,2,5,3,2,2,,4,3,,2,3,3,5,2,4,2,2
LC2021R6_000026,20211209,1.1485583,2,60,4,1,1,2,1,1,8885,2,2,12,,,,6,,,,,,,,,,,8888,8888,,,,,,,,,,8888,,,8888,3,2,1,1,1,2,2,3,1,3,1,3,1,3,1,4,4,4,4,4,4,2,2,2,2,30,3,2,5,4,4,5,3,2,3,2,2,2,,4,3,,1,3,3,4,2,3,1,2
LC2021R6_000027,20211209,1.6392516,2,0,1,1,1,2,1,1,8885,2,2,5,2,,,5,,,,,,,,,-99,-99,,,,,,,,,,,,-99,,,2,2,2,2,2,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,1,,,1,3,2,2,3,2,2,5,3,1,1,,4,3,,1,3,3,2,2,4,2,2
LC2021R6_000028,20211209,0.5998275,1,40,2,1,1,8886,8886,1,1,1,1,,,,,1,8888,8888,,,,,,,,,,,,,,,,,,,,8888,,,2,3,1,1,1,1,2,1,2,1,4,4,4,4,4,4,4,4,8889,8889,4,4,2,2,2,1,,,1,7,6,5,6,3,3,3,2,5,5,,8886,8886,,1,3,3,1,2,3,1,2
LC2021R6_000029,20211209,1.2095340,2,40,2,1,2,2,1,1,8885,2,2,11,,,,10,,,,,,,,,,,,,,,,,,,3,1,,1,2,3,1,3,2,1,1,1,2,1,4,4,2,1,3,1,3,1,3,1,3,1,3,1,1,1,1,2,10,2,2,4,3,3,4,2,2,3,2,7,6,,4,3,,2,4,3,4,2,5,3,2
LC2021R6_000030,20211209,0.6068811,1,50,3,1,1,1,1,1,8885,2,2,2,,,,1,3,1,,,,,,,,,,,,,,,,,,,,1,2,2,1,3,1,1,1,2,2,2,3,1,3,1,3,1,3,1,4,4,4,4,3,1,2,8888,1,2,68,5,2,7,6,5,6,3,3,3,2,6,6,,2,2,,1,3,3,1,2,3,1,2
LC2021R6_000031,20211209,1.5214115,2,50,3,1,1,3,3,1,8885,2,2,13,,1,,6,,,,,,,,,,,8886,8886,,,,,,,,,,8886,,,2,3,1,1,1,1,2,2,3,1,4,4,4,4,4,4,4,4,4,4,4,4,1,2,2,1,,,1,4,3,3,4,2,2,3,2,7,6,,1,1,,2,1,1,4,1,5,3,2
LC2021R6_000032,20211209,0.5851474,1,65,4,1,1,1,1,1,8885,2,2,13,,1,,6,,,,,,,,,,,-99,-99,,,,,,,,,,-99,,,1,4,1,1,2,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,2,2,26,3,2,7,6,5,6,3,3,1,1,5,5,,2,2,,2,1,1,4,3,5,3,1
LC2021R6_000033,20211209,0.8733536,2,0,1,1,1,-99,-99,1,8885,2,2,15,,,,8,,,,,,,,,,,,,,,-99,-99,,,,,,-99,,,-99,3,2,2,2,1,2,2,2,1,2,1,2,1,2,1,2,1,4,4,4,4,3,3,1,1,,,1,3,2,2,3,2,2,5,3,2,2,,-99,-99,,1,1,1,5,1,3,1,2
LC2021R6_000034,20211209,1.0566907,1,0,1,1,1,4,3,2,,,3,6,,,,3,,,,,8886,8886,,,,,,,,,,,,,,,,8886,,,2,2,1,2,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,1,,,1,5,4,4,5,3,2,5,3,7,6,,1,1,,1,3,3,2,3,2,1,1
LC2021R6_000035,20211209,0.4565571,1,50,3,1,1,8886,8886,1,8885,2,2,4,,,,2,,,3,1,,,,,,,,,,,,,,,,,,1,1,2,1,3,1,1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,1,,,1,7,6,5,6,3,3,5,3,6,6,,4,3,,1,3,3,1,2,3,1,2
LC2021R6_000036,20211209,0.5920284,1,80,4,1,1,1,1,1,8885,2,2,13,,1,,6,,,,,,,,,,,8888,8888,,,,,,,,,,8888,,,1,2,1,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,3,1,2,1,1,-99,1,2,50,4,2,7,6,5,6,3,3,5,3,6,6,,4,3,,1,2,2,4,2,4,2,2
LC2021R6_000037,20211209,1.1347441,2,50,3,1,2,2,1,2,,,3,13,,1,,6,,,,,,,,,,,3,1,,,,,,,,,,1,8888,8888,2,2,1,2,1,1,2,2,4,4,3,1,4,4,4,4,4,4,4,4,4,4,2,2,2,1,,,1,3,2,2,3,2,2,4,3,2,2,,4,3,,1,3,3,4,2,5,3,2
LC2021R6_000038,20211209,0.4565571,1,0,1,1,1,8886,8886,1,8885,2,2,1,,,,2,,,8888,8888,,,,,,,,,,,,,,,,,,8888,,,2,4,1,2,8888,2,2,2,4,4,4,4,4,4,4,4,4,4,8889,8889,4,4,3,3,2,2,72,5,2,7,6,5,6,3,3,3,2,6,6,,1,1,,2,3,3,1,3,3,1,2
LC2021R6_000039,20211209,1.0547926,2,0,1,1,1,4,3,2,,,3,8,,,,4,,,,,,,8886,8886,,,,,,,,,,,,,,8886,,,2,4,2,1,1,1,2,2,4,4,4,4,4,4,3,1,4,4,4,4,4,4,3,3,1,1,,,1,5,4,4,5,3,2,2,2,3,3,,8886,8886,,2,1,1,3,1,5,3,2
LC2021R6_000040,20211209,0.8453041,1,8888,8888,1,1,1,1,1,8885,2,2,9,,,,5,,,,,,,,,-99,-99,,,,,,,,,,,,-99,,,1,4,2,1,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,45,4,2,7,6,5,6,3,3,2,2,5,5,,-99,-99,,-99,-99,-99,3,-99,-99,-99,-99
LC2021R6_000041,20211209,0.5024907,2,0,1,1,1,3,3,1,4,1,1,,,,,4,,,,,,,8886,8886,,,,,,,,,,,,,,8886,,,1,2,1,1,1,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,1,,,1,7,6,5,6,3,3,3,2,6,6,,8886,8886,,1,3,3,3,-99,-99,-99,1
LC2021R6_000042,20211209,0.6244676,1,80,4,1,1,1,1,2,,,3,14,,,,9,,,,,,,,,,,,,,,,,8888,8888,,,,8888,,,1,3,2,1,1,2,2,2,4,4,8888,8888,4,4,4,4,4,4,4,4,4,4,2,2,1,2,85,5,2,7,6,5,6,3,3,1,1,6,6,,8886,8886,,2,1,1,5,2,5,3,1
LC2021R6_000043,20211209,1.0077442,1,60,4,1,1,1,1,1,8885,2,2,10,,,,7,,,,,,,,,,,,,2,1,,,,,,,,1,8888,3,8888,2,1,1,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,2,43,4,2,6,5,5,6,3,3,3,2,6,6,,8886,8886,,2,1,1,4,2,5,3,2
LC2021R6_000044,20211209,1.0537161,1,0,1,1,2,3,3,2,,,3,15,,,,8,,,,,,,,,,,,,,,8886,8886,,,,,,8886,,,2,3,2,1,2,1,2,2,3,1,1,1,3,1,3,1,3,1,4,4,3,1,3,3,1,1,,,1,1,1,1,1,1,1,3,2,4,4,,1,1,,2,1,1,5,1,5,3,2
LC2021R6_000045,20211209,0.8440330,2,10,2,1,1,8886,8886,1,8885,2,2,16,,,1,8,,,,,,,,,,,,,,,8886,8886,,,,,,8886,,,2,2,2,2,1,1,2,2,3,1,4,4,4,4,4,4,4,4,4,4,4,4,3,2,1,1,,,1,6,5,5,6,3,3,5,3,6,6,,1,1,,1,3,3,5,2,4,2,2
LC2021R6_000046,20211209,1.1184733,2,0,1,1,1,4,3,1,8885,2,2,-99,,,,-99,,,,,,,,,,,,,,,,,,,,,8886,8886,,,2,4,1,1,1,2,2,2,4,4,4,4,4,4,2,1,4,4,4,4,4,4,2,2,1,1,,,1,4,3,3,4,2,2,5,3,2,2,,1,1,,1,3,3,4,1,3,1,2
LC2021R6_000047,20211209,1.0547926,2,50,3,1,1,1,1,1,4,1,1,,,,,4,,,,,,,1,1,,,,,,,,,,,,,,1,1,3,1,2,2,1,1,2,2,2,3,1,4,4,4,4,4,4,4,4,4,4,4,4,2,1,1,2,20,3,2,5,4,4,5,3,2,3,2,3,3,,8886,8886,,2,3,3,3,2,4,2,2
LC2021R6_000048,20211209,0.5864723,1,2,2,1,1,4,3,1,8885,2,2,13,,2,,10,,,,,,,,,,,,,,,,,,,8886,8886,,8886,,,2,2,2,2,2,1,2,2,4,4,4,4,4,4,8889,8889,4,4,8889,8889,8889,8889,3,2,2,2,40,4,2,7,6,5,6,3,3,3,2,6,6,,4,3,,1,3,3,4,3,5,3,2
LC2021R6_000049,20211209,0.5393250,1,100,5,1,1,1,1,2,,,3,15,,,,8,,,,,,,,,,,,,,,-99,-99,,,,,,-99,,,8888,3,2,2,1,2,2,2,8888,8888,8888,8888,8888,8888,8888,8888,8888,8888,8888,8888,8888,8888,2,2,1,2,76,5,2,7,6,5,6,3,3,1,1,-99,-99,,-99,-99,,1,-99,-99,5,-99,5,3,2
LC2021R6_000050,20211209,1.0337272,2,8888,8888,1,1,8888,8888,1,8886,2,2,16,,,1,8,,,,,,,,,,,,,,,8888,8888,,,,,,8888,,,2,4,2,1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,10,2,2,3,2,2,3,2,2,3,2,5,5,,1,1,,2,1,1,5,1,5,3,1
LC2021R6_000051,20211209,0.7229051,2,0,1,1,1,3,3,1,8885,2,2,4,,,,2,,,8886,8886,,,,,,,,,,,,,,,,,,8886,,,2,4,1,1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,1,2,60,5,2,6,5,5,6,3,3,3,2,1,1,,4,3,,1,3,3,1,2,3,1,2
LC2021R6_000052,20211209,0.9631266,1,20,2,1,1,3,3,1,4,1,1,,,,,4,,,,,,,8886,8886,,,,,,,,,,,,,,8886,,,8888,2,1,1,1,2,2,2,3,1,2,1,3,1,4,4,4,4,4,4,4,4,3,3,2,1,,,1,3,2,2,3,2,2,5,3,1,1,,4,3,,2,1,1,3,1,5,3,2
LC2021R6_000053,20211209,0.6698813,2,0,1,1,1,1,1,1,-99,-99,-99,6,,,,3,,,,,2,1,,,,,,,,,,,,,,,,1,2,2,1,2,2,2,2,2,1,1,4,4,4,4,4,4,4,4,4,4,3,1,4,4,2,2,2,2,40,4,2,-99,-99,-99,-99,-99,-99,3,2,7,6,,2,2,,1,-99,-99,2,-99,-99,-99,-99
LC2021R6_000054,20211209,0.7135157,1,75,4,1,1,1,1,1,2,1,1,,,,,2,,,1,1,,,,,,,,,,,,,,,,,,1,1,3,2,2,1,1,2,2,2,1,2,1,2,1,3,1,3,1,3,1,3,1,3,1,1,2,2,1,,,1,6,5,5,6,3,3,3,2,6,6,,3,1,,1,2,2,-99,1,3,1,2
LC2021R6_000055,20211209,0.6244676,1,65,4,1,1,1,1,1,8885,2,2,14,,,,9,,,,,,,,,,,,,,,,,3,1,,,,1,2,3,1,3,1,1,1,2,2,2,3,1,4,4,4,4,4,4,4,4,4,4,2,1,2,2,1,2,77,5,2,7,6,5,6,3,3,2,2,6,6,,3,1,,1,3,3,5,3,8888,8888,2
LC2021R6_000056,20211209,1.1321127,2,0,1,1,2,4,3,2,,,3,15,,,,8,,,,,,,,,,,,,,,8886,8886,,,,,,8886,,,8888,4,2,1,1,2,2,2,3,1,3,1,3,1,4,4,3,1,4,4,3,1,2,3,1,2,40,4,2,5,4,4,5,3,2,2,2,3,3,,8886,8886,,2,1,1,5,3,5,3,2
LC2021R6_000057,20211209,1.1593053,2,0,1,1,1,3,3,1,10,1,1,,,,,10,,,,,,,,,,,,,,,,,,,8886,8886,,8886,,,2,4,1,1,2,1,2,2,2,1,3,1,3,1,3,1,3,1,4,4,3,1,2,2,1,1,,,1,2,1,1,2,1,1,5,3,2,2,,3,1,,1,1,1,4,1,4,2,2
LC2021R6_000058,20211209,1.3859729,2,0,1,1,1,8886,8886,1,8885,2,2,15,,,,8,,,,,,,,,,,,,,,3,1,,,,,,1,2,1,2,4,2,2,1,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,2,38,3,2,4,3,3,4,2,2,3,2,5,5,,1,1,,2,2,2,5,2,3,1,2
LC2021R6_000059,20211209,0.9645862,1,40,2,1,1,2,1,1,8885,2,2,17,,,,9,,,,,,,,,,,,,,,,,-99,-99,,,,-99,,,1,4,1,2,2,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,8888,8888,2,6,5,5,6,3,3,1,1,6,6,,8886,8886,,2,1,1,5,2,4,2,2
LC2021R6_000060,20211209,1.0641686,1,3,2,1,1,3,3,1,3,1,1,,,,,3,,,,,8886,8886,,,,,,,,,,,,,,,,8886,,,2,2,2,2,1,2,2,2,2,1,3,1,3,1,3,1,3,1,4,4,3,1,2,3,1,1,,,1,2,1,1,2,1,1,5,3,1,1,,4,3,,1,3,3,2,1,3,1,2
LC2021R6_000061,20211209,0.7135157,1,0,1,1,1,4,3,2,,,3,1,,,,2,,,8886,8886,,,,,,,,,,,,,,,,,,8886,,,2,4,2,8888,1,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,1,,,1,6,5,5,6,3,3,5,3,6,6,,1,1,,1,3,3,1,1,3,1,2
LC2021R6_000062,20211209,2.4782865,1,0,1,1,1,4,3,2,,,3,9,,,,5,,,,,,,,,8886,8886,,,,,,,,,,,,8886,,,2,4,2,1,2,1,2,2,8889,8889,4,4,4,4,4,4,3,1,8889,8889,8889,8889,3,8888,1,1,,,1,-99,-99,-99,-99,-99,-99,5,3,1,1,,-99,-99,,1,3,3,3,2,5,3,-99
LC2021R6_000063,20211209,0.9286106,1,60,4,1,1,1,1,1,8885,2,2,11,,,,10,,,,,,,,,,,,,,,,,,,1,1,,1,8888,2,1,2,2,1,1,1,2,2,2,1,8888,8888,4,4,2,1,4,4,8888,8888,4,4,2,2,1,2,60,5,2,6,5,5,6,3,3,1,1,3,3,,2,2,,1,3,3,4,2,5,3,2
LC2021R6_000064,20211209,1.0547926,2,0,1,1,1,4,3,1,4,1,1,,,,,4,,,,,,,8886,8886,,,,,,,,,,,,,,8886,,,2,1,1,1,1,1,2,1,2,1,4,4,3,1,3,1,4,4,4,4,2,1,3,2,1,1,,,1,5,4,4,5,3,2,5,3,1,1,,4,3,,2,3,3,3,1,5,3,1
LC2021R6_000065,20211209,1.2068015,2,65,4,1,1,1,1,1,8886,2,2,13,,1,,6,,,,,,,,,,,8888,8888,,,,,,,,,,8888,,,8888,4,1,1,1,1,2,2,8888,8888,3,1,3,1,3,1,3,1,4,4,4,4,2,2,1,2,20,3,2,4,3,3,4,2,2,5,3,1,1,,4,3,,1,3,3,4,2,3,1,1
LC2021R6_000066,20211209,1.2114916,2,0,1,1,1,8886,8886,1,8885,2,2,17,,,,9,,,,,,,,,,,,,,,,,8888,8888,,,,8888,,,2,3,1,1,2,1,2,1,3,1,4,4,3,1,4,4,4,4,4,4,4,4,2,2,2,2,30,3,2,5,4,4,5,3,2,3,2,2,2,,1,1,,2,1,1,5,1,5,3,2
LC2021R6_000067,20211209,0.7135157,1,0,1,1,1,4,3,1,8885,2,2,4,,,,2,,,8886,8886,,,,,,,,,,,,,,,,,,8886,,,2,2,2,1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,1,,,1,6,5,5,6,3,3,5,3,6,6,,8886,8886,,1,3,3,1,2,2,1,2
LC2021R6_000068,20211209,0.9827503,2,0,1,1,1,4,3,1,1,1,1,,,,,1,8886,8886,,,,,,,,,,,,,,,,,,,,8886,,,2,3,1,1,1,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,1,1,,,1,3,2,2,3,2,2,5,3,2,2,,1,1,,1,2,2,1,1,3,1,1
LC2021R6_000069,20211209,2.1978316,1,40,2,1,1,8886,8886,1,5,1,1,,,,,5,,,,,,,,,8888,8888,,,,,,,,,,,,8888,,,2,2,2,1,1,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,1,,,1,4,3,3,4,2,2,5,3,1,1,,4,3,,1,3,3,3,1,4,2,2
LC2021R6_000070,20211209,1.1773731,1,0,1,1,1,8886,8886,1,1,1,1,,,,,1,4,1,,,,,,,,,,,,,,,,,,,,1,1,3,2,3,1,1,1,1,2,2,3,1,3,1,3,1,3,1,4,4,4,4,4,4,2,3,2,1,,,1,5,4,4,5,3,2,2,2,2,2,,1,1,,1,2,2,1,2,4,2,2
