SurveyCaseid,date,weight,polltype,A003_rating,A003_ratinggp,v1,v3,WillVote,WillVotegp,KnowDistrict10,District10,District10gp,RealKnowDistrict10,District18,WongTaiSin,ShaTin,YuenLong,District10_2,SupportAny,sex,pob1,pob2,pob2_v2,pobgp,agegp_TP_7,agegp_TP_6,agegp_TP_5,agegp_TP,agegp2,agegp_2015,eduv2,edugp_TP,occv2,occgp,occv2_8881_others,v4_2019,inclin,v4_2019_8881_others,type,housingv2,housinggpv3,districtgp,marital,mid,midgp,civicactive
LC2021R4_000012,20211129,1.2159317,1,0,1,1,1,3,3,2,,,3,1,,,,2,2,1,1,,,1,2,1,1,2,1,1,5,3,1,1,,1,1,,2,2,2,1,1,3,1,1
LC2021R4_000013,20211129,0.4197223,1,50,3,1,1,1,1,1,3,1,1,,,,,3,1,1,2,32,3,2,7,6,5,6,3,3,2,2,6,6,,2,2,,2,1,1,2,2,5,3,1
LC2021R4_000014,20211129,0.9513958,1,50,3,1,1,2,1,1,8885,2,2,14,,,,9,2,2,1,,,1,6,5,5,6,3,3,2,2,5,5,,4,3,,1,3,3,5,2,3,1,2
LC2021R4_000015,20211129,1.4676705,1,0,1,1,1,4,3,2,,,3,10,,,,7,1,2,2,20,3,2,5,4,4,5,3,2,3,2,5,5,,1,1,,1,2,2,4,2,4,2,2
LC2021R4_000016,20211129,0.7727736,1,70,4,1,1,1,1,2,,,3,8,,,,4,1,2,1,,,1,6,5,5,6,3,3,1,1,6,6,,8886,8886,,2,1,1,3,3,5,3,2
LC2021R4_000017,20211129,1.1306434,1,50,3,1,1,2,1,2,,,3,12,,,,6,1,2,1,,,1,5,4,4,5,3,2,4,3,5,5,,2,2,,1,3,3,4,2,3,1,2
LC2021R4_000018,20211129,1.0250531,2,75,4,1,1,1,1,1,8885,2,2,16,,,1,8,1,2,2,12,2,2,3,2,2,3,2,2,4,3,5,5,,2,2,,2,1,1,5,2,5,3,2
LC2021R4_000019,20211129,1.0341383,1,50,3,1,1,8888,8888,1,7,1,1,,,,,7,8888,1,1,,,1,6,5,5,6,3,3,4,3,6,6,,4,3,,1,2,2,4,3,5,3,2
LC2021R4_000020,20211129,0.8306486,2,60,4,1,1,8886,8886,1,4,1,1,,,,,4,8888,1,2,25,3,2,5,4,4,5,3,2,3,2,3,3,,8886,8886,,2,1,1,3,2,4,2,2
LC2021R4_000021,20211129,1.2852371,2,0,1,1,1,8886,8886,1,4,1,1,,,,,4,2,2,8,27,3,8881,2,1,1,2,1,1,5,3,1,1,,3,1,,2,3,3,3,1,3,1,1
LC2021R4_000022,20211129,0.4429289,1,0,1,1,1,4,3,1,3,1,1,,,,,3,8888,2,1,,,1,7,6,5,6,3,3,5,3,6,6,,4,3,,1,3,3,2,3,3,1,2
LC2021R4_000023,20211129,1.1835244,2,0,1,1,1,2,1,1,1,1,1,,,,,1,2,1,1,,,1,2,1,1,2,1,1,5,3,1,1,,1,1,,1,3,3,1,1,3,1,2
LC2021R4_000024,20211129,0.9183859,2,50,3,1,2,3,3,2,,,3,3,,,,1,2,1,1,,,1,5,4,4,5,3,2,1,1,7,6,,8886,8886,,-99,3,3,1,1,5,3,2
LC2021R4_000025,20211129,0.7262282,1,80,4,1,1,1,1,1,7,1,1,,,,,7,2,1,2,90,5,2,7,6,5,6,3,3,1,1,6,6,,8888,8888,,2,1,1,4,3,8888,8888,1
LC2021R4_000026,20211129,0.877793,1,50,3,1,1,1,1,1,8885,2,2,4,,,,2,8888,2,2,43,4,2,6,5,5,6,3,3,1,1,3,3,,4,3,,2,1,1,1,3,8888,8888,2
LC2021R4_000027,20211129,0.5594615,1,0,1,1,1,4,3,1,8885,2,2,13,,1,,6,2,1,2,25,3,2,7,6,5,6,3,3,5,3,6,6,,8886,8886,,1,3,3,4,2,3,1,2
LC2021R4_000028,20211129,1.6766782,2,70,4,1,1,1,1,1,10,1,1,,,,,10,1,2,1,,,1,4,3,3,4,2,2,5,3,1,1,,4,3,,1,2,2,4,2,3,1,1
LC2021R4_000029,20211129,0.943207,2,0,1,1,1,8886,8886,2,,,3,8,,,,4,2,1,1,,,1,4,3,3,4,2,2,5,3,2,2,,1,1,,1,3,3,3,1,4,2,2
LC2021R4_000030,20211129,0.8689405,1,40,2,1,1,8886,8886,2,,,3,12,,,,6,2,1,2,41,4,2,5,4,4,5,3,2,5,3,2,2,,1,1,,1,3,3,4,2,3,1,2
LC2021R4_000031,20211129,0.6064806,1,50,3,1,1,1,1,1,3,1,1,,,,,3,1,2,1,,,1,6,5,5,6,3,3,2,2,5,5,,2,2,,2,1,1,2,2,5,3,1
LC2021R4_000032,20211129,1.4676705,1,70,4,1,1,1,1,2,,,3,10,,,,7,8888,2,2,21,3,2,5,4,4,5,3,2,2,2,3,3,,-99,-99,,2,1,1,4,2,5,3,-99
LC2021R4_000033,20211129,0.5461917,1,50,3,1,1,2,1,1,8885,2,2,15,,,,8,1,1,5,42,4,8881,7,6,5,6,3,3,1,1,6,6,,2,2,,1,2,2,5,3,5,3,2
LC2021R4_000034,20211129,1.3587878,2,50,3,1,1,1,1,1,10,1,1,,,,,10,1,1,1,,,1,5,4,4,5,3,2,3,2,1,1,,3,1,,1,3,3,4,2,5,3,2
LC2021R4_000035,20211129,0.9232169,1,50,3,1,1,2,1,1,8885,2,2,13,,2,,10,1,2,2,25,3,2,7,6,5,6,3,3,1,1,5,5,,4,3,,2,1,1,4,2,5,3,1
LC2021R4_000036,20211129,1.1467674,1,50,3,1,1,4,3,1,8885,2,2,5,2,,,5,8888,2,1,,,1,7,6,5,6,3,3,1,1,5,5,,8888,8888,,2,1,1,2,3,5,3,2
LC2021R4_000037,20211129,1.2524194,1,0,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,,,1,-99,-99,-99,-99,-99,-99,3,2,6,6,,4,3,,1,3,3,1,2,4,2,2
LC2021R4_000038,20211129,0.9435332,1,0,1,1,1,-99,-99,2,,,3,4,,,,2,2,1,1,,,1,5,4,4,5,3,2,5,3,1,1,,1,1,,1,2,2,1,2,3,1,1
LC2021R4_000039,20211129,0.5348075,2,80,4,1,2,2,1,2,,,3,8,,,,4,1,1,2,30,3,2,7,6,5,6,3,3,3,2,6,6,,8886,8886,,2,1,1,3,2,5,3,2
LC2021R4_000040,20211129,0.6948297,2,60,4,1,1,8886,8886,1,8885,2,2,17,,,,9,1,2,1,,,1,7,6,5,6,3,3,3,2,6,6,,8886,8886,,2,1,1,5,1,5,3,2
LC2021R4_000041,20211129,1.0932437,2,0,1,1,1,1,1,2,,,3,16,,,1,8,2,1,1,,,1,2,1,1,2,1,1,4,3,1,1,,8886,8886,,2,3,3,5,1,5,3,2
LC2021R4_000042,20211129,0.5643772,1,70,4,1,1,1,1,1,8885,2,2,8,,,,4,1,2,2,64,5,2,7,6,5,6,3,3,5,3,6,6,,8886,8886,,1,3,3,3,2,3,1,2
LC2021R4_000043,20211129,1.4676705,1,60,4,1,2,8886,8886,2,,,3,10,,,,7,8888,2,2,15,2,2,5,4,4,5,3,2,2,2,5,5,,4,3,,2,3,3,4,2,3,1,2
LC2021R4_000044,20211129,0.7877046,2,0,1,1,1,4,3,1,8885,2,2,6,,,,3,2,2,1,,,1,3,2,2,3,2,2,5,3,1,1,,1,1,,1,3,3,2,2,4,2,2
LC2021R4_000045,20211129,0.6239895,1,60,4,1,1,1,1,1,8885,2,2,2,,,,1,1,2,2,47,4,2,7,6,5,6,3,3,5,3,6,6,,8886,8886,,1,3,3,1,2,3,1,2
LC2021R4_000046,20211129,1.7452551,2,20,2,1,2,2,1,1,8885,2,2,16,,,2,7,8888,2,1,,,1,2,1,1,2,1,1,5,3,2,2,,-99,-99,,1,2,2,5,1,4,2,2
LC2021R4_000047,20211129,1.1642742,1,40,2,1,1,2,1,1,8885,2,2,18,,,,2,1,2,2,18,2,2,4,3,3,4,2,2,3,2,7,6,,4,3,,2,1,1,5,2,3,1,2
LC2021R4_000048,20211129,1.2502506,2,0,1,1,1,4,3,1,-99,-99,-99,-99,,,,-99,2,1,2,20,3,2,3,2,2,3,2,2,5,3,2,2,,8881,8888,___,1,3,3,-99,2,4,2,2
LC2021R4_000049,20211129,0.6064806,1,0,1,1,1,4,3,1,3,1,1,,,,,3,2,2,1,,,1,6,5,5,6,3,3,5,3,6,6,,8881,8888,___,2,1,1,2,1,5,3,1
LC2021R4_000050,20211129,1.3918457,2,0,1,1,1,4,3,1,7,1,1,,,,,7,2,2,1,,,1,4,3,3,4,2,2,4,3,1,1,,1,1,,1,3,3,1,1,3,1,1
LC2021R4_000051,20211129,1.0250531,2,40,2,1,1,2,1,1,8885,2,2,16,,,1,8,2,2,1,,,1,3,2,2,3,2,2,5,3,2,2,,3,1,,1,3,3,5,2,3,1,2
LC2021R4_000052,20211129,1.2781744,2,0,1,1,1,4,3,1,8886,2,2,-99,,,,-99,2,2,1,,,1,5,4,4,5,3,2,4,3,1,1,,3,1,,1,2,2,-99,2,3,1,1
LC2021R4_000053,20211129,0.6674314,1,95,4,1,1,1,1,1,8886,2,2,-99,,,,-99,1,2,2,8888,8888,2,7,6,5,6,3,3,1,1,6,6,,2,2,,2,1,1,5,2,5,3,2
LC2021R4_000054,20211129,1.0808189,2,40,2,1,1,3,3,1,8885,2,2,8,,,,4,2,2,1,,,1,5,4,4,5,3,2,2,2,5,5,,8886,8886,,2,1,1,3,2,4,2,2
LC2021R4_000055,20211129,0.7727736,1,80,4,1,1,2,1,1,4,1,1,,,,,4,1,2,2,30,3,2,6,5,5,6,3,3,3,2,6,6,,8886,8886,,1,3,3,5,2,4,2,2
LC2021R4_000056,20211129,0.7892234,1,0,1,1,2,4,3,2,,,3,15,,,,8,2,2,1,,,1,6,5,5,6,3,3,1,1,6,6,,8888,8888,,1,2,2,5,2,5,3,2
LC2021R4_000057,20211129,0.9866877,2,0,1,1,1,4,3,1,8885,2,2,13,,1,,6,8888,1,1,,,1,4,3,3,4,2,2,3,2,2,2,,8886,8886,,2,1,1,4,2,4,2,2
LC2021R4_000058,20211129,1.0249801,1,20,2,1,1,2,1,1,4,1,1,,,,,4,2,2,1,,,1,4,3,3,4,2,2,5,3,4,4,,3,1,,2,1,1,3,1,4,2,2
LC2021R4_000059,20211129,0.5206989,2,10,2,1,1,1,1,1,3,1,1,,,,,3,1,2,1,,,1,-99,-99,-99,-99,-99,-99,3,2,2,2,,8886,8886,,1,2,2,2,-99,-99,-99,1
LC2021R4_000060,20211129,0.8482377,1,50,3,1,1,1,1,2,,,3,6,,,,3,1,2,1,,,1,5,4,4,5,3,2,5,3,6,6,,4,3,,1,3,3,2,2,3,1,2
LC2021R4_000061,20211129,0.8543979,2,50,3,1,1,1,1,1,1,1,1,,,,,1,2,2,1,,,1,6,5,5,6,3,3,5,3,6,6,,4,3,,1,3,3,1,1,2,1,2
LC2021R4_000062,20211129,0.9513958,1,50,3,1,1,1,1,2,,,3,17,,,,9,1,2,1,,,1,6,5,5,6,3,3,5,3,1,1,,8886,8886,,1,3,3,5,1,3,1,2
LC2021R4_000063,20211129,1.1467674,2,50,3,1,1,2,1,1,8885,2,2,5,2,,,5,1,2,2,63,5,2,7,6,5,6,3,3,1,1,5,5,,4,3,,2,1,1,2,3,4,2,2
LC2021R4_000064,20211129,1.2008803,2,50,3,1,1,1,1,2,,,3,18,,,,2,1,1,1,,,1,3,2,2,3,2,2,4,3,1,1,,4,3,,2,1,1,5,2,5,3,2
LC2021R4_000065,20211129,1.3918457,1,50,3,1,1,2,1,1,7,1,1,,,,,7,1,2,2,10,2,2,4,3,3,4,2,2,2,2,2,2,,8886,8886,,2,3,3,4,2,4,2,1
LC2021R4_000066,20211129,0.5912965,1,60,4,1,1,1,1,1,8885,2,2,3,,,,1,1,1,1,,,1,7,6,5,6,3,3,4,3,6,6,,4,3,,1,2,2,1,2,4,2,2
LC2021R4_000067,20211129,1.2852371,2,10,2,1,2,1,1,2,,,3,7,,,,4,8888,2,2,7,2,2,2,1,1,2,1,1,5,3,1,1,,2,2,,2,3,3,3,2,3,1,2
LC2021R4_000068,20211129,0.5461917,1,0,1,1,1,8886,8886,1,8885,2,2,15,,,,8,2,1,2,61,5,2,7,6,5,6,3,3,5,3,6,6,,8886,8886,,1,3,3,5,2,4,2,2
LC2021R4_000069,20211129,1.1097026,2,80,4,1,2,2,1,1,8885,2,2,2,,,,1,1,2,2,8,2,2,3,2,2,3,2,2,5,3,1,1,,1,1,,-99,-99,-99,1,-99,3,1,2
LC2021R4_000070,20211129,0.5643772,1,50,3,1,1,2,1,1,8885,2,2,8,,,,4,1,2,1,,,1,7,6,5,6,3,3,1,1,7,6,,2,2,,1,3,3,3,3,5,3,2
LC2021R4_000071,20211129,0.7262282,1,0,1,1,1,4,3,1,8885,2,2,10,,,,7,2,1,1,,,1,7,6,5,6,3,3,2,2,6,6,,1,1,,1,2,2,4,2,4,2,2
LC2021R4_000072,20211129,1.0932437,1,50,3,1,2,3,3,2,,,3,15,,,,8,8888,1,1,,,1,2,1,1,2,1,1,5,3,4,4,,4,3,,1,2,2,5,1,4,2,-99
LC2021R4_000073,20211129,0.5903943,1,80,4,1,1,1,1,2,,,3,12,,,,6,8888,2,5,47,4,8881,7,6,5,6,3,3,3,2,6,6,,2,2,,1,3,3,4,2,4,2,-99
LC2021R4_000074,20211129,0.5594615,1,50,3,1,1,2,1,1,8885,2,2,13,,1,,6,1,1,2,46,4,2,7,6,5,6,3,3,2,2,6,6,,2,2,,2,1,1,4,2,4,2,2
LC2021R4_000075,20211129,1.4598999,1,0,1,1,1,3,3,2,,,3,4,,,,2,2,2,1,,,1,2,1,1,2,1,1,5,3,1,1,,1,1,,1,3,3,1,1,3,1,1
LC2021R4_000076,20211129,0.6584251,1,80,4,1,1,1,1,1,8885,2,2,17,,,,9,1,1,2,73,5,2,7,6,5,6,3,3,1,1,6,6,,1,1,,2,1,1,5,3,8888,8888,2
LC2021R4_000077,20211129,0.5594615,1,40,2,1,1,1,1,1,8885,2,2,13,,1,,6,8888,1,1,,,1,7,6,5,6,3,3,4,3,6,6,,2,2,,1,2,2,4,3,3,1,1
LC2021R4_000078,20211129,0.761558,1,0,1,1,1,-99,-99,1,8885,2,2,7,,,,4,-99,1,1,,,1,6,5,5,6,3,3,5,3,6,6,,1,1,,1,3,3,3,2,3,1,2
LC2021R4_000079,20211129,0.9375877,1,0,1,1,1,8886,8886,1,8885,2,2,17,,,,9,1,1,2,60,5,2,6,5,5,6,3,3,1,1,3,3,,4,3,,1,3,3,5,2,4,2,1
LC2021R4_000080,20211129,1.0722305,2,50,3,1,1,2,1,1,8885,2,2,13,,1,,6,8888,2,2,23,3,2,4,3,3,4,2,2,1,1,3,3,,4,3,,2,1,1,4,2,5,3,2
LC2021R4_000081,20211129,0.7262282,1,0,1,1,1,8888,8888,1,8885,2,2,16,,,2,7,8888,1,1,,,1,7,6,5,6,3,3,4,3,6,6,,8886,8886,,1,3,3,5,1,8888,8888,2
LC2021R4_000082,20211129,0.5903943,2,50,3,1,1,8886,8886,2,,,3,13,,1,,6,2,2,-99,8888,8888,-99,7,6,5,6,3,3,2,2,6,6,,-99,-99,,2,1,1,4,3,5,3,2
LC2021R4_000083,20211129,0.7262282,1,0,1,1,1,8888,8888,1,8885,2,2,16,,,2,7,8888,1,1,,,1,7,6,5,6,3,3,4,3,6,6,,8886,8886,,1,3,3,5,1,8888,8888,2
LC2021R4_000084,20211129,1.4356069,2,50,3,1,1,1,1,2,,,3,10,,,,7,2,1,1,,,1,3,2,2,3,2,2,2,2,3,3,,4,3,,1,3,3,4,2,4,2,2
LC2021R4_000085,20211129,1.0428332,1,60,4,1,1,2,1,1,8885,2,2,3,,,,1,1,1,1,,,1,4,3,3,4,2,2,5,3,2,2,,4,3,,2,3,3,1,2,3,1,2
LC2021R4_000086,20211129,1.0722305,1,60,4,1,1,2,1,1,8885,2,2,13,,1,,6,8888,2,2,40,4,2,4,3,3,4,2,2,5,3,5,5,,4,3,,1,3,3,4,2,3,1,2
LC2021R4_000087,20211129,0.8748463,1,80,4,1,1,1,1,1,8885,2,2,13,,2,,10,1,1,2,41,4,2,7,6,5,6,3,3,2,2,6,6,,2,2,,2,1,1,4,2,4,2,1
LC2021R4_000088,20211129,0.5461917,1,5,2,1,1,4,3,1,8885,2,2,16,,,1,8,2,1,1,,,1,7,6,5,6,3,3,3,2,6,6,,1,1,,1,3,3,5,2,3,1,2
LC2021R4_000089,20211129,1.3587878,2,0,1,1,1,4,3,1,10,1,1,,,,,10,2,1,1,,,1,5,4,4,5,3,2,3,2,1,1,,1,1,,1,3,3,4,2,2,1,2
LC2021R4_000090,20211129,0.7877046,2,0,1,1,1,8886,8886,1,8885,2,2,6,,,,3,2,2,1,,,1,3,2,2,3,2,2,5,3,2,2,,1,1,,2,3,3,2,2,4,2,2
LC2021R4_000091,20211129,0.6584251,2,40,2,1,1,8886,8886,1,8885,2,2,14,,,,9,2,1,1,,,1,7,6,5,6,3,3,1,1,6,6,,1,1,,1,3,3,5,2,4,2,2
LC2021R4_000092,20211129,1.916518,2,0,1,1,1,1,1,2,,,3,9,,,,5,2,1,1,,,1,4,3,3,4,2,2,5,3,1,1,,1,1,,1,3,3,3,2,3,1,1
LC2021R4_000093,20211129,0.8083976,1,80,4,1,1,1,1,2,,,3,12,,,,6,1,2,1,,,1,6,5,5,6,3,3,3,2,6,6,,4,3,,1,3,3,4,2,3,1,2
LC2021R4_000094,20211129,0.6410756,1,50,3,1,1,2,1,2,,,3,4,,,,2,8888,2,1,,,1,7,6,5,6,3,3,1,1,6,6,,8886,8886,,1,2,2,1,2,5,3,2
LC2021R4_000095,20211129,1.3015738,2,0,1,1,1,4,3,1,8885,2,2,17,,,,9,2,1,1,,,1,3,2,2,3,2,2,3,2,2,2,,3,1,,1,2,2,5,2,3,1,1
LC2021R4_000096,20211129,2.196134,1,3,2,1,1,8886,8886,1,5,1,1,,,,,5,2,2,1,,,1,5,4,4,5,3,2,5,3,6,6,,1,1,,1,3,3,3,2,3,1,2
LC2021R4_000097,20211129,1.264115,1,0,1,1,1,4,3,1,8885,2,2,11,,,,10,2,2,1,,,1,6,5,5,6,3,3,3,2,6,6,,1,1,,1,2,2,4,-99,5,3,2
LC2021R4_000098,20211129,1.1306434,1,40,2,1,1,4,3,1,8885,2,2,13,,1,,6,2,2,1,,,1,5,4,4,5,3,2,5,3,1,1,,4,3,,1,1,1,4,2,3,1,2
LC2021R4_000099,20211129,0.5643772,1,70,4,1,8888,2,1,1,8885,2,2,8,,,,4,2,2,1,,,1,7,6,5,6,3,3,1,1,5,5,,4,3,,1,2,2,3,2,8888,8888,-99
LC2021R4_000100,20211129,0.9232169,1,50,3,1,1,3,3,2,,,3,13,,2,,10,2,2,2,50,4,2,7,6,5,6,3,3,1,1,-99,-99,,8886,8886,,-99,-99,-99,4,-99,5,3,-99
LC2021R4_000101,20211129,1.5823122,1,0,1,1,1,3,3,1,8885,2,2,17,,,,9,2,2,1,,,1,2,1,1,2,1,1,5,3,1,1,,1,1,,1,3,3,5,1,3,1,2
LC2021R4_000102,20211129,0.877793,1,0,1,1,1,4,3,2,,,3,4,,,,2,2,2,2,64,5,2,6,5,5,6,3,3,3,2,5,5,,1,1,,1,3,3,1,2,3,1,2
LC2021R4_000103,20211129,1.0493683,1,100,5,1,1,1,1,2,,,3,16,,,2,7,1,2,2,27,3,2,6,5,5,6,3,3,2,2,6,6,,4,3,,1,3,3,5,3,3,1,2
LC2021R4_000104,20211129,1.1332437,2,60,4,1,2,2,1,1,1,1,1,,,,,1,8888,2,1,,,1,4,3,3,4,2,2,3,2,5,5,,2,2,,2,3,3,1,3,5,3,2
LC2021R4_000105,20211129,0.6239895,2,50,3,1,1,2,1,2,,,3,3,,,,1,8888,2,2,37,3,2,7,6,5,6,3,3,1,1,5,5,,8888,8888,,2,1,1,1,2,-99,-99,-99
LC2021R4_000106,20211129,1.1306434,2,50,3,1,1,1,1,1,8885,2,2,12,,,,6,1,2,1,,,1,5,4,4,5,3,2,3,2,5,5,,2,2,,1,3,3,4,2,2,1,1
LC2021R4_000107,20211129,1.5702117,1,0,1,1,1,4,3,1,5,1,1,,,,,5,2,2,1,,,1,6,5,5,6,3,3,3,2,6,6,,4,3,,1,2,2,2,2,3,1,-99
LC2021R4_000108,20211129,0.5461917,1,100,5,1,1,1,1,1,8885,2,2,15,,,,8,1,1,2,44,4,2,7,6,5,6,3,3,5,3,6,6,,2,2,,1,3,3,5,2,5,3,2
LC2021R4_000109,20211129,1.2277014,1,80,4,1,1,1,1,1,2,1,1,,,,,2,1,2,2,25,3,2,5,4,4,5,3,2,2,2,3,3,,2,2,,2,1,1,1,2,4,2,1
LC2021R4_000110,20211129,0.8482377,1,0,1,1,1,2,1,1,8885,2,2,6,,,,3,2,2,1,,,1,5,4,4,5,3,2,3,2,2,2,,-99,-99,,2,1,1,2,1,4,2,-99
LC2021R4_000111,20211129,0.8419976,2,0,1,1,1,4,3,1,1,1,1,,,,,1,8888,1,2,50,4,2,6,5,5,6,3,3,5,3,1,1,,3,1,,1,3,3,1,2,3,1,2
LC2021R4_000112,20211129,0.6064806,1,70,4,1,1,2,1,1,3,1,1,,,,,3,1,2,1,,,1,6,5,5,6,3,3,3,2,6,6,,1,1,,1,2,2,2,2,4,2,2
LC2021R4_000113,20211129,0.9009437,1,50,3,1,1,8886,8886,2,,,3,16,,,2,7,1,2,1,,,1,-99,-99,-99,-99,-99,-99,2,2,5,5,,8886,8886,,1,2,2,5,2,5,3,-99
LC2021R4_000114,20211129,0.7262282,1,50,3,1,1,2,1,2,,,3,10,,,,7,2,1,2,60,5,2,7,6,5,6,3,3,3,2,6,6,,4,3,,1,3,3,4,2,3,1,2
LC2021R4_000115,20211129,0.7966649,2,0,1,1,1,3,3,1,8885,2,2,12,,,,6,1,1,2,50,4,2,6,5,5,6,3,3,2,2,1,1,,8886,8886,,1,3,3,4,2,3,1,2
LC2021R4_000116,20211129,0.8482377,1,50,3,1,1,8886,8886,1,8885,2,2,6,,,,3,8888,2,1,,,1,5,4,4,5,3,2,3,2,2,2,,8886,8886,,2,1,1,2,3,5,3,2
LC2021R4_000117,20211129,0.5903943,1,25,2,1,1,1,1,1,8885,2,2,12,,,,6,1,2,2,68,5,2,7,6,5,6,3,3,5,3,6,6,,2,2,,1,3,3,4,2,2,1,2
LC2021R4_000118,20211129,0.9866877,2,50,3,1,1,8886,8886,2,,,3,12,,,,6,1,1,1,,,1,4,3,3,4,2,2,5,3,1,1,,4,3,,2,3,3,4,2,3,1,2
LC2021R4_000119,20211129,0.7262282,2,80,4,1,1,1,1,1,8885,2,2,10,,,,7,1,1,2,45,4,2,7,6,5,6,3,3,1,1,6,6,,2,2,,2,1,1,4,2,5,3,1
LC2021R4_000120,20211129,1.2159317,1,0,1,1,1,4,3,2,,,3,4,,,,2,2,1,1,,,1,2,1,1,2,1,1,5,3,2,2,,1,1,,2,4,3,1,1,5,3,2
LC2021R4_000121,20211129,0.8044148,2,100,5,1,2,2,1,1,8885,2,2,6,,,,3,1,2,-99,11,2,-99,4,3,3,4,2,2,2,2,3,3,,8888,8888,,2,3,3,2,-99,-99,-99,-99
LC2021R4_000122,20211129,0.5461917,1,100,5,1,2,4,3,2,,,3,16,,,1,8,2,1,1,,,1,7,6,5,6,3,3,5,3,6,6,,2,2,,1,3,3,5,2,3,1,2
LC2021R4_000123,20211129,0.5763908,1,8888,8888,1,1,8886,8886,2,,,3,16,,,1,8,8888,2,1,,,1,7,6,5,6,3,3,1,1,5,5,,8886,8886,,1,-99,-99,5,3,-99,-99,-99
LC2021R4_000124,20211129,0.6948297,1,90,4,1,1,1,1,2,,,3,17,,,,9,1,2,1,,,1,7,6,5,6,3,3,2,2,6,6,,2,2,,2,1,1,5,1,4,2,-99
LC2021R4_000125,20211129,1.2808039,2,50,3,1,1,8886,8886,1,7,1,1,,,,,7,2,1,1,,,1,4,3,3,4,2,2,3,2,6,6,,8886,8886,,1,2,2,4,2,5,3,1
LC2021R4_000126,20211129,1.4676705,1,30,2,1,1,1,1,1,7,1,1,,,,,7,8888,2,2,30,3,2,5,4,4,5,3,2,4,3,2,2,,4,3,,1,3,3,4,2,5,3,2
LC2021R4_000127,20211129,0.8543979,2,50,3,1,1,1,1,2,,,3,3,,,,1,1,2,2,30,3,2,6,5,5,6,3,3,3,2,6,6,,2,2,,1,3,3,1,2,3,1,2
LC2021R4_000128,20211129,1.003688,1,0,1,1,1,3,3,1,4,1,1,,,,,4,2,2,1,,,1,3,2,2,3,2,2,4,3,1,1,,3,1,,1,3,3,3,2,3,1,2
LC2021R4_000129,20211129,0.8483303,2,45,2,1,1,1,1,1,8885,2,2,16,,,1,8,1,1,1,,,1,5,4,4,5,3,2,2,2,6,6,,8886,8886,,1,3,3,5,1,5,3,2
LC2021R4_000130,20211129,0.4429289,1,50,3,1,1,1,1,1,3,1,1,,,,,3,1,2,1,,,1,7,6,5,6,3,3,3,2,6,6,,8886,8886,,2,-99,-99,2,-99,-99,-99,-99
